"condition","Iteration","InSampleError","Error","Model"
0,22,0.322191629680281,0.317629812809356,"Hyperbolic"
0,23,0.303325560435765,0.336861138651183,"Hyperbolic"
0,24,0.321359732337744,0.315872405422955,"Hyperbolic"
0,25,0.319433219530443,0.31404247945948,"Hyperbolic"
0,26,0.313604268460289,0.315405707633043,"Hyperbolic"
0,27,0.307814434531376,0.32689938324752,"Hyperbolic"
0,28,0.305359323739428,0.318232383177368,"Hyperbolic"
0,29,0.316733263157726,0.314666521587847,"Hyperbolic"
0,30,0.32248935865616,0.311553597570676,"Hyperbolic"
0,31,0.324123905942252,0.311618643612344,"Hyperbolic"
0,32,0.318030591137139,0.317353659639227,"Hyperbolic"
0,33,0.325133026372179,0.310636732067365,"Hyperbolic"
0,34,0.32316276086491,0.312777796682082,"Hyperbolic"
0,35,0.307134379452637,0.323501141891182,"Hyperbolic"
0,36,0.314309426692548,0.321944663423564,"Hyperbolic"
0,37,0.32082741300736,0.317679444689444,"Hyperbolic"
0,38,0.309386522186612,0.323052917708176,"Hyperbolic"
0,39,0.313443102410057,0.318032806694885,"Hyperbolic"
0,40,0.317503963972149,0.31890862575099,"Hyperbolic"
0,41,0.319366282802635,0.3162091208612,"Hyperbolic"
0,42,0.317579172200809,0.317371537376685,"Hyperbolic"
0,43,0.321928164526342,0.316227275685093,"Hyperbolic"
0,44,0.310462246552023,0.331716134008759,"Hyperbolic"
0,45,0.310079743526809,0.322408581069711,"Hyperbolic"
0,46,0.320727515911704,0.318694335380378,"Hyperbolic"
0,47,0.323010418706549,0.319958118936882,"Hyperbolic"
0,48,0.319110802074627,0.313154887740859,"Hyperbolic"
0,49,0.320837679214909,0.314255289307721,"Hyperbolic"
0,50,0.316974068163966,0.322579157708118,"Hyperbolic"
0,51,0.321677747750637,0.307202090111227,"Hyperbolic"
0,52,0.31389717870675,0.33014129149513,"Hyperbolic"
0,53,0.292579370970631,0.345906689705854,"Hyperbolic"
0,54,0.318386660219273,0.323357828114869,"Hyperbolic"
0,55,0.320871340055166,0.310510815688402,"Hyperbolic"
0,56,0.321687223085288,0.315591135292039,"Hyperbolic"
0,57,0.3075971151053,0.321288820268252,"Hyperbolic"
0,58,0.33080789555806,0.304602524454906,"Hyperbolic"
0,59,0.320202659821927,0.313565595083553,"Hyperbolic"
0,60,0.321239753768184,0.323261384991077,"Hyperbolic"
0,61,0.316494778139409,0.316839994274729,"Hyperbolic"
0,62,0.316465761093944,0.317252654086889,"Hyperbolic"
0,63,0.310223421294623,0.327076366046394,"Hyperbolic"
0,64,0.318980035730513,0.308900682745523,"Hyperbolic"
0,65,0.313273107216035,0.314993071209691,"Hyperbolic"
0,66,0.304520994659467,0.327168918293377,"Hyperbolic"
0,67,0.323724919693858,0.306634963628481,"Hyperbolic"
0,68,0.314159468061356,0.317793943477788,"Hyperbolic"
0,69,0.316144793421765,0.325478218812012,"Hyperbolic"
